series|location|keywords|numpages|pages|booktitle|abstract|doi|url|address|publisher|isbn|year|title|author|type_publication|ID|articleno|month|journal|issn|number|volume|issue_date|note|edition|editor|Sourceid|SJR|SJR_Best_Quartile|H_index|Total_Docs_2020|Total_Docs_3years|Total_Refs|Total_Cites_3years|Citable_Docs_3years|Cites_Doc_2years|Ref_Doc|Country|Region|Coverage|Categories|Total_Cites|Journal_Impact_Factor|Eigenfactor_Score|id_title|id_issn
||Data quality standards, assessing data quality, data quality monitoring, data quality reporting, data issue management, quality improvement methodology||187-228|Meeting the Challenges of Data Quality Management|This chapter describes the functions required to build organizational capacity to manage data for quality over time. They include: data quality standards, data quality assessment, data quality monitoring, data quality reporting, data quality issue management, and data quality improvement. These activities are likely to be executed more consistently and with greater impact if there is a data quality team specifically responsible for defining them and facilitating their adoption within the organization.|https://doi.org/10.1016/B978-0-12-821737-5.00009-2|https://www.sciencedirect.com/science/article/pii/B9780128217375000092||Academic Press|978-0-12-821737-5|2022|Chapter 9 - Core Data Quality Management Capabilities|Laura Sebastian-Coleman|incollection|SEBASTIANCOLEMAN2022187||||||||||Laura Sebastian-Coleman|||||||||||||||||||488357325|42
ICBDR 2018|Weihai, China|power grid planning, data management, mechanism design, data fusion|6|21–26|Proceedings of the 2nd International Conference on Big Data Research|In order to deal with diversity of massive data structures and the variety of information formats, a novel mechanism is designed for unified management of power grid planning data. By integrating many business systems including production management system (PMS), geographic information system (GIS), energy management system (EMS), distribution network information acquisition system in the power supply company's system and adopting various technical means such as data warehouse technology (e.g. ETL, Extract-Transform-Load) and incremental capture, data structure that supports the whole process management of power grid business is designed, data correlation analysis and integration &amp; migration are carried out, and efficient access and deep fusion of massive relational data, file-type data, distributed data and spatial data are realized. Besides, through computing modes such as diagnostic analysis, load analysis and spatial analysis, the integrated database for power grid planning that integrates data fusion, storage, mining, modeling, computing, analysis and intelligent perception is finally constructed based on the designed data management mechanism, which could provide the comprehensive model and data support for power grid development. Field application shows the engineering benefit of the designed data management mechanism.|10.1145/3291801.3291826|https://doi.org/10.1145/3291801.3291826|New York, NY, USA|Association for Computing Machinery|9781450364768|2018|Mechanism Design for Unified Management of Power Grid Planning Data|Sun, Donglei and Zeng, Jun and Zhu, Yi and Cao, Xiangyang and Wang, Yiqun and Yang, Bo and Yang, Bin and Wang, Nan and Bo, Qibin and Fu, Yimu and Wei, Jia and Liu, Dong|inproceedings|10.1145/3291801.3291826|||||||||||||||||||||||||||||488411075|42
||urban/community dynamics, cross-space sensing and mining, human-machine systems, Mobile phone sensing, crowd intelligence|31|||With the surging of smartphone sensing, wireless networking, and mobile social networking techniques, Mobile Crowd Sensing and Computing (MCSC) has become a promising paradigm for cross-space and large-scale sensing. MCSC extends the vision of participatory sensing by leveraging both participatory sensory data from mobile devices (offline) and user-contributed data from mobile social networking services (online). Further, it explores the complementary roles and presents the fusion/collaboration of machine and human intelligence in the crowd sensing and computing processes. This article characterizes the unique features and novel application areas of MCSC and proposes a reference framework for building human-in-the-loop MCSC systems. We further clarify the complementary nature of human and machine intelligence and envision the potential of deep-fused human--machine systems. We conclude by discussing the limitations, open issues, and research opportunities of MCSC.|10.1145/2794400|https://doi.org/10.1145/2794400|New York, NY, USA|Association for Computing Machinery||2015|Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm|Guo, Bin and Wang, Zhu and Yu, Zhiwen and Wang, Yu and Yen, Neil Y. and Huang, Runhe and Zhou, Xingshe|article|10.1145/2794400|7|aug|ACM Comput. Surv.|03600300|1|48|September 2015||||23038|2,079|Q1|163|112|365|15859|6978|365|19,16|141,60|United States|Northern America|1969-2020|Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)|10,790|10.282|0.01438|489003122|1517405264
HT '14|Santiago, Chile|marketing intelligence, social media, sentiment identification, mapreduce, network analysis|10|190–199|Proceedings of the 25th ACM Conference on Hypertext and Social Media|This paper investigates characteristics of implicit brand networks extracted from a large dataset of user historical activities on a social media platform. To our knowledge, this is one of the first studies to comprehensively examine brands by incorporating user-generated social content and information about user interactions. This paper makes several important contributions. We build and normalize a weighted, undirected network representing interactions among users and brands. We then explore the structure of this network using modified network measures to understand its characteristics and implications. As a part of this exploration, we address three important research questions: (1) What is the structure of a brand-brand network? (2) Does an influential brand have a large number of fans? (3) Does an influential brand receive more positive or more negative comments from social users? Experiments conducted with Facebook data show that the influence of a brand has (a) high positive correlation with the size of a brand, meaning that an influential brand can attract more fans, and, (b) low negative correlation with the sentiment of comments made by users on that brand, which means that negative comments have a more powerful ability to generate awareness of a brand than positive comments. To process the large-scale datasets and networks, we implement MapReduce-based algorithms.|10.1145/2631775.2631806|https://doi.org/10.1145/2631775.2631806|New York, NY, USA|Association for Computing Machinery|9781450329545|2014|Empirical Analysis of Implicit Brand Networks on Social Media|Zhang, Kunpeng and Bhattacharyya, Siddhartha and Ram, Sudha|inproceedings|10.1145/2631775.2631806|||||||||||||||||||||||||||||489572767|42
Handbook of Statistics||Big Data, Hadoop, MapReduce, Image search, Multimedia retrieval, Smart deployment, SIFT, HDFS, Hadoop deployment, Hadoop configuration, Hadoop performance, Map waves||279-301|Big Data Analytics|While the past decade has witnessed an unprecedented growth of data generated and collected all over the world, existing data management approaches lack the ability to address the challenges of Big Data. One of the most promising tools for Big Data processing is the MapReduce paradigm. Although it has its limitations, the MapReduce programming model has laid the foundations for answering some of the Big Data challenges. In this chapter, we focus on Hadoop, the open-source implementation of the MapReduce paradigm. Using as case study a Hadoop-based application, i.e., image similarity search, we present our experiences with the Hadoop framework when processing terabytes of data. The scale of the data and the application workload allowed us to test the limits of Hadoop and the efficiency of the tools it provides. We present a wide collection of experiments and the practical lessons we have drawn from our experience with the Hadoop environment. Our findings can be shared as best practices and recommendations to the Big Data researchers and practitioners.|https://doi.org/10.1016/B978-0-444-63492-4.00012-5|https://www.sciencedirect.com/science/article/pii/B9780444634924000125||Elsevier||2015|Chapter 12 - Terabyte-Scale Image Similarity Search|Diana Moise and Denis Shestakov|incollection|MOISE2015279||||01697161||33||||Venu Govindaraju and Vijay V. Raghavan and C.R. Rao|17700156445|0,125|Q4|42|19|89|1023|82|1|1,12|53,84|Netherlands|Western Europe|1980, 1982-1985, 1988, 1991, 1993-1994, 1996-1998, 2000-2001, 2003, 2005-2007, 2009, 2012-2020|Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)||||496071913|2062690730
ICBDR 2017|Osaka, Japan|minimal attribute set, ETL, Metadata, PROV, data provenance|5|57–61|Proceedings of the 2017 International Conference on Big Data Research|For the ETL process, this paper designs a provenance tool based on inversible transformation, and describes the meta-information of ETL and data provenance process in two ways: one is to take the database two-dimensional table to describe the relevant information in logical level, easy to record; the other is the use of PROV model information on the xml description, and shows the ETL and the provenance process in the directed acyclic graph, easy to understand.|10.1145/3152723.3152730|https://doi.org/10.1145/3152723.3152730|New York, NY, USA|Association for Computing Machinery|9781450353564|2017|Design of ETL Provenance Tool Based on Minimal Attribute Set|Chaofan, Dai and Ran, Zhang and Pei, Li and Wenqian, Wang|inproceedings|10.1145/3152723.3152730|||||||||||||||||||||||||||||498104581|42
||Personal big data, Data privacy, Privacy protection, Differential privacy, Positive pricing, Reverse pricing, Privacy budget, Privacy compensation||102529||Personal big data can greatly promote social management, business applications, and personal services, and bring certain economic benefits to users. The difficulty with personal big data security and privacy protection lies in realizing the maximization of the value of personal big data and in striking a balance between data privacy protection and sharing on the premise of satisfying personal big data security and privacy protection. Thus, in this paper, we propose a personal big data pricing method based on differential privacy (PMDP). We design two different mechanisms of positive and reverse pricing to reasonbly price personal big data. We perform aggregate statistics on an open dataset and extensively evaluated its performance. The experimental results show that PMDP can provide reasonable pricing for personal big data and fair compensation to data owners, ensuring an arbitrage-free condition and finding a balance between privacy protection and data utility.|https://doi.org/10.1016/j.cose.2021.102529|https://www.sciencedirect.com/science/article/pii/S0167404821003539||||2022|Personal big data pricing method based on differential privacy|Yuncheng Shen and Bing Guo and Yan Shen and Xuliang Duan and Xiangqian Dong and Hong Zhang and Chuanwu Zhang and Yuming Jiang|article|SHEN2022102529|||Computers & Security|01674048||113|||||28898|0,861|Q1|92|321|559|17204|3843|550|6,75|53,60|United Kingdom|Western Europe|1982-2020|Computer Science (miscellaneous) (Q1); Law (Q1)||||503256275|1687137310
||Energy consumption;Temperature distribution;Water storage;Data integrity;Water heating;Solar energy;Big Data;energy management;energy big data;energy information collection||1450-1452|2021 International Conference on Information and Communication Technology Convergence (ICTC)|Although the solar energy industry is becoming widespread, it is necessary to manage the charging and generating scheduling of solar power generation according to the ever-changing climate environment. In order to do this, a judgment criterion that can give timely charge / discharge instructions is needed and it needs to be actively performed. In this paper, we define a big-data platform for residential heat energy consumption. As a technology to secure thermal energy data of apartment houses, collect thermal energy data by dividing it into supply/equipment/usage. In order to secure standardized thermal energy data from the calorimeter installed. Equipped with data classification and processing, LP storage and management, data quality measurement and analysis functions. Develop a data adapter, from several multiunit dwellings with different calorimeter types. We will collect thermal energy data with an integrated big data system.|10.1109/ICTC52510.2021.9620761|||||2021|Mechanism of a big-data platform for residential heat energy consumption|Ku, Tai-Yeon and Park, Wan-Ki and Choi, Hoon|inproceedings|9620761||Oct||21621233|||||||||||||||||||||||||503894301|966235993
ICSE '16|Austin, Texas|telemetry, practices, developer tools, logging, collaboration, boundary object|10|92–101|Proceedings of the 38th International Conference on Software Engineering Companion|Large software organizations are transitioning to event data platforms as they culturally shift to better support data-driven decision making. This paper offers a case study at Microsoft during such a transition. Through qualitative interviews of 28 participants, and a quantitative survey of 1,823 respondents, we catalog a diverse set of activities that leverage event data sources, identify challenges in conducting these activities, and describe tensions that emerge in data-driven cultures as event data flow through these activities within the organization. We find that the use of event data span every job role in our interviews and survey, that different perspectives on event data create tensions between roles or teams, and that professionals report social and technical challenges across activities.|10.1145/2889160.2889231|https://doi.org/10.1145/2889160.2889231|New York, NY, USA|Association for Computing Machinery|9781450342056|2016|The Bones of the System: A Case Study of Logging and Telemetry at Microsoft|Barik, Titus and DeLine, Robert and Drucker, Steven and Fisher, Danyel|inproceedings|10.1145/2889160.2889231|||||||||||||||||||||||||||||504106223|42
SIGMOD '22|Philadelphia, PA, USA|quality management, geo-sensory data, internet of things|9|2474–2482|Proceedings of the 2022 International Conference on Management of Data|Within the rapidly expanding Internet of Things (IoT), growing amounts of spatially referenced data are being generated. Due to the dynamic, decentralized, and heterogeneous nature of the IoT, spatial IoT data (SID) quality has attracted considerable attention in academia and industry. How to invent and use technologies for managing spatial data quality and exploiting low-quality spatial data are key challenges in the IoT. In this tutorial, we highlight the SID consumption requirements in applications and offer an overview of spatial data quality in the IoT setting. In addition, we review pertinent technologies for quality management and low-quality data exploitation, and we identify trends and future directions for quality-aware SID management and utilization. The tutorial aims to not only help researchers and practitioners to better comprehend SID quality challenges and solutions, but also offer insights that may enable innovative research and applications.|10.1145/3514221.3522568|https://doi.org/10.1145/3514221.3522568|New York, NY, USA|Association for Computing Machinery|9781450392495|2022|Spatial Data Quality in the IoT Era: Management and Exploitation|Li, Huan and Tang, Bo and Lu, Hua and Cheema, Muhammad Aamir and Jensen, Christian S.|inproceedings|10.1145/3514221.3522568|||||||||||||||||||||||||||||504516376|42
||||61-63||Nowadays, there are a huge number of autonomous and diverse information sources providing heterogeneous data. Sensors, social media data, data on the Web, open data, just to name a few, resulting in a major confluence of Big Data. In this survey, we discuss these diverse data sources and detail the way in which data are acquired, stored, processed and analysed. Although some of the opportunities in this new state are mentioned, the main objective of this analysis is to present the challenges for Big Data. To accomplish this goal, we examine the new proposals and approaches presented in this special issue with the aim of establishing new models for improving the management of the volume, velocity, and variety, of Big Data. Some of these schemes establish the use of Ontologies, Semantic Processing, Cloud Computing and Data Management and could be seen as intelligent services integrated as context-aware services.|https://doi.org/10.1016/j.csi.2017.03.006|https://www.sciencedirect.com/science/article/pii/S0920548917301022||||2017|Big Data. New approaches of modelling and management|David Gil and Il-Yeol Song and José F. Aldana and Juan Trujillo|article|GIL201761|||Computer Standards & Interfaces|09205489||54||SI: New modeling in Big Data|||24303|0,556|Q1|63|36|246|2302|1013|243|3,71|63,94|Netherlands|Western Europe|1985-2020|Law (Q1); Hardware and Architecture (Q2); Software (Q2)||||507041687|827980402
||Smart buildings, IoT, Big data analytics, Reactif systems, Complex event processing||161-168||The processes of digital transformation have involved a variety of socio-technical activities, with the objective of increasing productivity, safety and quality of execution, sustainable development, collaborative working and solutions for the sustainable smart city. The major digital trends, changing the building sector and revealing new trends of understanding information technologies to integrate in this sector. Current smart building management systems incorporate a variety of sensors, actuators and dedicated networks. Their objectives are to observe the condition of specific areas and apply appropriate rules to preserve or improve comfort while saving energy. In this paper, we propose a review of related works to IoT, Big Data Analytics in smart buildings.|https://doi.org/10.1016/j.procs.2020.03.021|https://www.sciencedirect.com/science/article/pii/S1877050920304506||||2020|IoT and Big Data Analytics for Smart Buildings: A Survey|Abdellah Daissaoui and Azedine Boulmakoul and Lamia Karim and Ahmed Lbath|article|DAISSAOUI2020161|||Procedia Computer Science|18770509||170||The 11th International Conference on Ambient Systems, Networks and Technologies (ANT) / The 3rd International Conference on Emerging Data and Industry 4.0 (EDI40) / Affiliated Workshops|||19700182801|0,334|-|76|1907|6483|38511|13722|6359|2,09|20,19|Netherlands|Western Europe|2010-2020|Computer Science (miscellaneous)||||508267799|2108686752
||evaluation, automation, crowdsourcing, data mining, Artificial intelligence|4||||10.1145/2935752|https://doi.org/10.1145/2935752|New York, NY, USA|Association for Computing Machinery||2016|Replacing Mechanical Turkers? Challenges in the Evaluation of Models with Semantic Properties|Morstatter, Fred and Liu, Huan|article|10.1145/2935752|15|oct|J. Data and Information Quality|19361955|4|7|October 2016||||||||||||||||||||||509938500|833754770
WI '17|Leipzig, Germany|personalization, decision support, data purchase, computational intelligence|7|396–402|Proceedings of the International Conference on Web Intelligence|"\"The Big Data era is affording a paradigm change on decision-making approaches. More and more, companies as well as individuals are relying on data rather than on the so called \"\"gut feeling\"\" to make decisions. However, searching the Web for carrying out purchases is not completely satisfactory yet, given the arduousness of finding suitable quality data. This has contributed to the emergence of data marketplaces as an alternative to traditional data commerce, as they provide appropriate online environments for data offering and purchasing. Nevertheless, as the number of available datasets to purchase increases, the task of buying appropriate offers is, very often, challenging. In this sense, we propose an intelligent decision support system to help buyers in purchasing data offers based on a multiple-criteria decision analysis. Experimental results show that our approach provides an interactive way that addresses buyers' needs, allowing them to state and easily refine their preferences, without any specific order, via a series of dataset recommendations.\""|10.1145/3106426.3106434|https://doi.org/10.1145/3106426.3106434|New York, NY, USA|Association for Computing Machinery|9781450349512|2017|Intelligent Decision Support for Data Purchase|Martins, Denis Mayr Lima and Vossen, Gottfried and de Lima Neto, Fernando Buarque|inproceedings|10.1145/3106426.3106434|||||||||||||||||||||||||||||510483893|42
KDD '16|San Francisco, California, USA|predictive modeling, machine learning, machine learning platforms, business analytics|2|2139–2140|Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining|Predictive modeling is the art of building statistical models that forecast probabilities and trends of future events. It has broad applications in industry across different domains. Some popular examples include user intention predictions, lead scoring, churn analysis, etc. In this tutorial, we will focus on the best practice of predictive modeling in the big data era and its applications in industry, with motivating examples across a range of business tasks and relevance products. We will start with an overview of how predictive modeling helps power and drive various key business use cases. We will introduce the essential concepts and state of the art in building end-to-end predictive modeling solutions, and discuss the challenges, key technologies, and lessons learned from our practice, including case studies of LinkedIn feed relevance and a platform for email response prediction. Moreover, we will discuss some practical solutions of building predictive modeling platform to scale the modeling efforts for data scientists and analysts, along with an overview of popular tools and platforms used across the industry.|10.1145/2939672.2945388|https://doi.org/10.1145/2939672.2945388|New York, NY, USA|Association for Computing Machinery|9781450342322|2016|Business Applications of Predictive Modeling at Scale|Zhu, Qiang and Guo, Songtao and Ogilvie, Paul and Liu, Yan|inproceedings|10.1145/2939672.2945388|||||||||||||||||||||||||||||512781591|42
|||7|16–22||Recently, both academia and industry have shown increasing interest in unlocking the potential applications of digital twin. As an emerging technology, digital twin builds a virtual representation of physical objects and makes predictive strategies. As compared with conventional simulation and modeling technologies, digital twin can ensure the high fidelity of the virtual model through continuous updating and self-learning. The emerging standardization of digital twin facilitates the development of digital twin, and will eventually realize the interconnection of data, models and services between different enterprises or areas. This article overviews the recent progress of digital twin standards, the progress of digital twin network, and the challenges for successfully deploying digital twins.|10.1145/3568113.3568119|https://doi.org/10.1145/3568113.3568119|New York, NY, USA|Association for Computing Machinery||2022|An Introduction to Digital Twin Standards|Sun, Wen and Ma, Wenqiang and Zhou, Yu and Zhang, Yan|article|10.1145/3568113.3568119||oct|GetMobile: Mobile Comp. and Comm.|23750529|3|26|September 2022||||||||||||||||||||||513049713|1320313121
||Intrinsic motivation learning, Curiosity loop, Reinforcement learning, Big data, Data science, Feature selection||42-54||In state-of-the-art big-data applications, the process of building machine learning models can be very challenging due to continuous changes in data structures and the need for human interaction to tune the variables and models over time. Hence, expedited learning in rapidly changing environments is required. In this work, we address this challenge by implementing concepts from the field of intrinsically motivated computational learning, also known as artificial curiosity (AC). In AC, an autonomous agent acts to optimize its learning about itself and its environment by receiving internal rewards based on prediction errors. We present a novel method of intrinsically motivated learning, based on the curiosity loop, to learn the data structures in large and varied datasets. An autonomous agent learns to select a subset of relevant features in the data, i.e., feature selection, to be used later for model construction. The agent optimizes its learning about the data structure over time without requiring external supervision. We show that our method, called the Curious Feature Selection (CFS) algorithm, positively impacts the accuracy of learning models on three public datasets.|https://doi.org/10.1016/j.ins.2019.02.009|https://www.sciencedirect.com/science/article/pii/S0020025519301100||||2019|Curious Feature Selection|Michal Moran and Goren Gordon|article|MORAN201942|||Information Sciences|00200255||485|||||15134|1,524|Q1|184|928|2184|40007|17554|2168|7,89|43,11|United States|Northern America|1968-2021|Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)|44,038|6.795|0.04908|514784958|1633962588
dg.o 2019|Dubai, United Arab Emirates|Data Analytics, DMBOK, Data Management, Policy Analysis, Artificial Intelligence|6|171–176|Proceedings of the 20th Annual International Conference on Digital Government Research|Technical and organizational innovations such as Open Data, Internet of Things and Big Data have fueled renewed interest in policy analytics in the public sector. This revamped version of policy analysis continues the long-standing tradition of applying statistical modeling to better understand policy effects and decision making, but also incorporates other computational approaches such as artificial intelligence (AI) and computer simulation. Although much attention has been given to the development of capabilities for data analysis, there is much less attention to understanding the role of data management in a context of AI in government. In this paper, we argue that data management capabilities are foundational to data analysis of any kind, but even more important in the present AI context. This is so because without proper data management, simply acquiring data or systems will not produce desired outcomes. We also argue that realizing the potential of AI for social good relies on investments specifically focused on this social outcome, investments in the processes of building trust in government data, and ensuring the data are ready and suitable for use, for both immediate and future uses.|10.1145/3325112.3325245|https://doi.org/10.1145/3325112.3325245|New York, NY, USA|Association for Computing Machinery|9781450372046|2019|The Data Firehose and AI in Government: Why Data Management is a Key to Value and Ethics|Harrison, Teresa and F. Luna-Reyes, Luis and Pardo, Theresa and De Paula, Nic and Najafabadi, Mahdi and Palmer, Jillian|inproceedings|10.1145/3325112.3325245|||||||||||||||||||||||||||||515728370|42
||Machine learning algorithms;Smart cities;Big Data;Prediction algorithms;Data mining;Traffic congestion;Regression tree analysis;Data Mining;Big Data;Machine learning;Smart Cities;Prediction;Classification;Traffic Congestion||1-8|2020 11th International Conference on Information, Intelligence, Systems and Applications (IISA|This paper provides an analysis and proposes a methodology for predicting traffic congestion. Several machine learning algorithms and approaches are compared to select the most appropriate one. The methodology was implemented using Data Mining and Big Data techniques along with Python, SQL, and GIS technologies and was tested on data originating from one of the most problematic, regarding traffic congestion, streets in Thessaloniki, the 2nd most populated city in Greece. Evaluation and results have shown that data quality and size were the most critical factors towards algorithmic accuracy. Result comparison showed that Decision Trees were more accurate than Logistic Regression.|10.1109/IISA50023.2020.9284399|||||2020|Big Data Mining for Smart Cities: Predicting Traffic Congestion using Classification|Mystakidis, Aristeidis and Tjortjis, Christos|inproceedings|9284399||July|||||||||||||||||||||||||||518065148|42
||Social networking (online);Soft sensors;Transforms;Data warehouses;Big Data applications;Data models;Security;data integration;data warehouse;data lake;big data;extract transform load;data processing workflow;data processing pipeline;data quality;ETL optimization;data source evolution;metadata||01-03|2021 Eighth International Conference on Social Network Analysis, Management and Security (SNAMS)|During recent years, we observe a widespread of new data sources, especially all types of social media and IoT devices, which produce huge data volumes, whose content ranges from fully structured to totally unstructured. All these types of data are commonly referred to as big data. They are typically described by the three most important characteristics, called 3V [1], namely: an extremely large volume, a variety of data models and structures (data representations), as well as a high velocity at which data are generated. We argue that out of these three Vs, the most challenging is variety [2]. Such data need to be integrated and transformed into a common representation, which is suitable for analysis, in a similar manner as traditional (mainly table-like) data.|10.1109/SNAMS53716.2021.9732098|||||2021|Still Open Problems in Data Warehouse and Data Lake Research: extended abstract|Wrembel, Robert|inproceedings|9732098||Dec|||||||||||||||||||||||||||523365897|42
JCDL '17|Toronto, Ontario, Canada|web archiving, internet archive|2|352–353|Proceedings of the 17th ACM/IEEE Joint Conference on Digital Libraries|This workshop will explore integration of Web archiving and digital libraries, so the complete life cycle involved is covered: creation/authoring, uploading/publishing in the Web (2.0), (focused) crawling, indexing, exploration (searching, browsing), archiving (of events), etc. It will include particular coverage of current topics of interest, like: big data, mobile web archiving, and systems (e.g., Memento, SiteStory, Hadoop processing).||||IEEE Press|9781538638613|2017|Web Archiving and Digital Libraries (WADL)|Fox, Edward A. and Xie, Zhiwu and Klein, Martin|inproceedings|10.5555/3200334.3200410|||||||||||||||||||||||||||||523849870|42
||Energy efficiency management, ISO 19030, Hull and propeller maintenance||108953||This study analyzes the energy efficiency of ships based on ISO 19030, which is a standard for the measurement of changes in hull and propeller performance. The goal is to provide energy efficiency management with digital indicators that have not been easily provided. The ship navigation information platform (SNIP) is developed to determine the dynamic information of each ship, including the fuel consumption, ship speed, horsepower of the engine, rotation speed of the engine, wind direction, and wind speed. In addition, model test data and computational fluid dynamics (CFD) calculation data are applied to calculate the energy efficiency performance indicators. Finally, the relationship of the speed through water and the speed over ground enables us to modify the effects of the ocean currents. The results verify that these indicators can be used as a reference for performance monitoring and maintenance prediction of international maritime affairs.|https://doi.org/10.1016/j.oceaneng.2021.108953|https://www.sciencedirect.com/science/article/pii/S0029801821003887||||2021|Marine big data analysis of ships for the energy efficiency changes of the hull and maintenance evaluation based on the ISO 19030 standard|Heiu-Jou Shaw and Cheng-Kuan Lin|article|SHAW2021108953|||Ocean Engineering|00298018||232|||||28339|1,321|Q1|100|1216|2475|51177|10979|2469|4,31|42,09|United Kingdom|Western Europe|1968-2020|Environmental Engineering (Q1); Ocean Engineering (Q1)|23,463|3.795|0.0247|524046757|1406779183
EGOSE '16|St. Petersburg, Russia|municipal operations center, smart cities governance, multiple cases study, smart cities|12|19–30|Proceedings of the International Conference on Electronic Governance and Open Society: Challenges in Eurasia|Cities around the world have been facing complex challenges from the growing urbanization. The increase of urban problems is a consequence of this phenomenon, added to the lack of policies focusing in citizens' well-being and safety. Municipal operations centers have played an important role in response of social events and natural disasters as a way to address the urgency and dynamism of urban problems. This research aims at analyzing the main dimensions and factors for implementing municipal operations centers as smart city initiatives. In order to explore this phenomenon it was conducted an exploratory study, based on multiple case studies. The empirical setting of this research is determined by municipal operations centers in Rio de Janeiro, Porto Alegre and Belo Horizonte. The research findings evidenced that the implementation of the centers comprises technological, organizational and managerial factors, in addition to political and institutional factors. Increasing smart cities governance is the main result from the initiatives.|10.1145/3014087.3014110|https://doi.org/10.1145/3014087.3014110|New York, NY, USA|Association for Computing Machinery|9781450348591|2016|Building Understanding of Municipal Operations Centers as Smart City' Initiatives: Insights from a Cross-Case Analysis|Pereira, Gabriela Viale and Testa, Maur\'{\i}cio Gregianin and Macadar, Marie Anne and Parycek, Peter and de Azambuja, Luiza Schuch|inproceedings|10.1145/3014087.3014110|||||||||||||||||||||||||||||525325453|42
||Data integrity;Quality assessment;Writing;Gaussian distribution;Big Data;Sampling methods;Time-frequency analysis;Data Quality, Quality Assessment, Sampling||1306-1311|2019 International Conference on Computational Science and Computational Intelligence (CSCI)|Data is useful to the extent that it can be quickly analyzed to reveal valuable information. With high-quality data, we can increase revenue, reduce cost, and reduce risk. On the other hand, the consequences of poor-quality data can be severe. It has been estimated that poor quality customer data costs U.S. businesses $611 billion annually in postage, printing, and staff overhead. These issues make data quality assessment a necessary and critical step in any data-related systems. Big data brings new challenges to data quality assessment due to the scale of data, streaming data, and different forms of data. Therefore, we proposed a sampling-based approximate quality assessment model on large data. Sampling large datasets can make all quality assessment processes cheaper and more feasible because of data reduction. The protocol of this work: First, the sample size is determined for estimating a large dataset. Next, sampling techniques are applied to collect samples. Then, these samples are used to estimate the quality of the large dataset. The objective of quality assessment in this work is to evaluate the completeness, accuracy, and timeliness of data and to return fast and approximate scores. Using different sample sizes and different sampling methods, we obtained 72 sets of data and compared them. These results show that the proposed approach is efficient and provides some insight into the quality assessment with samples.|10.1109/CSCI49370.2019.00244|||||2019|Approximate Quality Assessment with Sampling Approaches|Liu, Hong and Sang, Zhenhua and Karali, Sameer|inproceedings|9071249||Dec|||||||||||||||||||||||||||525924230|42
CFI '16|Nanjing, China|cloud computing, User behavior analysis, SQL-on-Hadoop, Internet TV|7|36–42|Proceedings of the 11th International Conference on Future Internet Technologies|The characteristic of Internet TV user behavior is quite essential for designers to optimize resource schedule and improve user experience. With the rapid development of Internet, both Internet TV users and STB (set top boxes) models are booming. This brings a large amount of behavior data which requires matching computing and storage resource to process. Therefore, scalable Internet TV user behavior analysis becomes more difficult. As a solution, cloud computing framework such as Hive is emerged. But limited by performance, it's not an appropriate choice for interactive analysis or real-time data exploration. In this paper, we present a real-time Internet TV user behavior analysis system with advantages of high concurrency, low latency and good transportability. Firstly, we design an event capture scheme, consisted of agents embedded in STBs and capture server clusters, to capture every manipulation performed by users. Secondly, we develop a SQL-on-Hadoop engine with distributed transactional management to decrease the response time. The engine has excellent query performance and ability to interactively query various data sources in different Hadoop formats. Lastly, we evaluate RBAS in a commercial Internet TV platform of 16 million registered users. The results show that, with a 32-node cluster, the system can effectively process 10.2 TB of behavior data every day, which is about 40x faster than original Hive-based system.|10.1145/2935663.2935664|https://doi.org/10.1145/2935663.2935664|New York, NY, USA|Association for Computing Machinery|9781450341813|2016|RBAS: A Real-Time User Behavior Analysis System for Internet TV in Cloud Computing|Zhu, Chengang and Cheng, Guang and Guo, Xiaojun and Wang, Yuxiang|inproceedings|10.1145/2935663.2935664|||||||||||||||||||||||||||||527682322|42
https://doi.org/10.1016/j.lungcan.2020.05.033|https://www.sciencedirect.com/science/article/pii/S0169500220304670||||2020|Ten-year patient journey of stage III non-small cell lung cancer patients: A single-center, observational, retrospective study in Korea (Realtime autOmatically updated data warehOuse in healTh care; UNIVERSE-ROOT study)|Hyun Ae Jung and Jong-Mu Sun and Se-Hoon Lee and Jin Seok Ahn and Myung-Ju Ahn and Keunchil Park|article|JUNG2020112|||Lung Cancer|01695002||146||||||||||||||||||||||||||||||528894861|42
