series|location|keywords|numpages|pages|booktitle|abstract|doi|url|address|publisher|isbn|year|title|author|type_publication|ID|articleno|month|journal|issn|number|volume|issue_date|note|edition|editor|Sourceid|SJR|SJR_Best_Quartile|H_index|Total_Docs_2020|Total_Docs_3years|Total_Refs|Total_Cites_3years|Citable_Docs_3years|Cites_Doc_2years|Ref_Doc|Country|Region|Coverage|Categories|Total_Cites|Journal_Impact_Factor|Eigenfactor_Score|id_title|id_issn
||cloud computing, medical care, Body area networks, QoS, healthcare|46|||Body Area Networks (BANs) are becoming increasingly popular and have shown great potential in real-time monitoring of the human body. With the promise of being cost-effective and unobtrusive and facilitating continuous monitoring, BANs have attracted a wide range of monitoring applications, including medical and healthcare, sports, and rehabilitation systems. Most of these applications are real time and life critical and require a strict guarantee of Quality of Service (QoS) in terms of timeliness, reliability, and so on. Recently, there has been a number of proposals describing diverse approaches or frameworks to achieve QoS in BANs (i.e., for different layers or tiers and different protocols). This survey put these individual efforts into perspective and presents a more holistic view of the area. In this regard, this article identifies a set of QoS requirements for BAN applications and shows how these requirements are linked in a three-tier BAN system and presents a comprehensive review of the existing proposals against those requirements. In addition, open research issues, challenges, and future research directions in achieving these QoS in BANs are highlighted.|10.1145/3085580|https://doi.org/10.1145/3085580|New York, NY, USA|Association for Computing Machinery||2017|QoS in Body Area Networks: A Survey|Razzaque, M. A. and Hira, Muta Tah and Dira, Mukta|article|10.1145/3085580|25|aug|ACM Trans. Sen. Netw.|15504859|3|13|August 2017||||4700152843|0,598|Q2|67|44|118|2352|447|117|3,52|53,45|United States|Northern America|2005-2020|Computer Networks and Communications (Q2)|1,365|2.253|9.9E-4|20847787|1384228366
IoT 2019|Bilbao, Spain|agriculture, data privacy, privacy-preserving data analysis|4||Proceedings of the 9th International Conference on the Internet of Things|Today's herd management undergoes a major transformation triggered by the penetration of cheap sensor solutions into cattle farms, and the promise of predictive analytics to detect animal health issues and product-related problems before they occur. The latter is particularly important to prevent disease spread, ensure animal health, animal welfare and product quality. Sensor businesses entering the market tend to build their solutions as end-to-end pipelines spanning sensors, proprietary algorithms, cloud services, and mobile apps. Since data privacy is an important issue in this industry, as a result, disconnected data silos, heterogeneity of APIs, and lack of common standards limit the value the sensor technologies could provide for herd management. In the last few years, researchers and communities proposed a number of data integration architectures to enable exchange between streams of sensor data. This paper surveys the existing efforts and outlines the opportunities they fail to address by treating sensor data as a black box. We discuss alternative solutions to the problem based on privacy-preserving collaborative learning, and provide a set of scenarios to show their benefits for both farmers and businesses.|10.1145/3365871.3365900|https://doi.org/10.1145/3365871.3365900|New York, NY, USA|Association for Computing Machinery|9781450372077|2019|Embracing Opportunities of Livestock Big Data Integration with Privacy Constraints|"\"Papst, Franz and Saukh, Olga and R\"\"{o}mer, Kay and Grandl, Florian and Jakovljevic, Igor and Steininger, Franz and Mayerhofer, Martin and Duda, J\\\"\"{u}rgen and Egger-Danner, Christa\""|inproceedings|10.1145/3365871.3365900|27||||||||||||||||||||||||||||22478255|42
IDEAS '22|Budapest, Hungary|Generative Models, Neural Networks, Synthetic Data|9|94–102|Proceedings of the 26th International Database Engineered Applications Symposium|Generating synthetic data similar to realistic data is a crucial task in data augmentation and data production. Due to the preservation of authentic data distribution, synthetic data provide concealment of sensitive information and therefore enable Big Data acquisition for model training without facing privacy challenges. Nevertheless, the obstacles arise starting with acquiring real-world open-source data to effectively synthesizing new samples as genuine as possible. In this paper, a comparative study is conducted by considering the efficacy of different generative models like Generative Adversarial Networks (GAN), Variational Autoencoder (VAE), Synthetic Minority Oversampling Technique (SMOTE), Data Synthesizer (DS), Synthetic Data Vault with Gaussian Copula (SDV-G), Conditional Generative Adversarial Networks (SDV-GAN), and SynthPop Non-Parametric (SP-NP) approach to synthesize data with regard to various datasets. We used the pairwise correlation and Synthetic Data (SD) metrics as utility measures respectively between real data and generated data for evaluation. Accordingly, this paper investigates the effects of various data generation models, and the processing time of every model is included as one of the evaluation metrics.|10.1145/3548785.3548793|https://doi.org/10.1145/3548785.3548793|New York, NY, USA|Association for Computing Machinery|9781450397094|2022|Synthetic Data Generation: A Comparative Study|Endres, Markus and Mannarapotta Venugopal, Asha and Tran, Tung Son|inproceedings|10.1145/3548785.3548793|||||||||||||||||||||||||||||28067728|42
||Big data analytics, Advanced analysis, Artificial intelligence, Machine learning, Text analytics, Cross-industry processes||100274||We are living in a world where everything computes, everyone and everything is connected and sharing data. Going beyond just capturing and managing data, enterprises are tapping into IoT and Artificial Intelligence (AI) to create insights and intelligence in a revolutionary way that was not possible before. For instance, by analyzing unstructured data (such as text), call centers can extract entities, concepts, themes which can enable them to get faster insights that only few years back was not feasible. Public safety and law enforcement are only few of the examples that benefit from text analytics used to strengthen crime investigation. Sentiment Analysis, Content Classification, Language Detection and Intent Detection are just some of the Text Classification applications. The overall process model of such applications considering the complexity of the unstructured data, can be definitely challenging. In response to the chaotic emerging science of unstructured data analysis, the main goal of this paper is to first contribute to the gap of no existing methodology approach for Text Analytics projects, by introducing a methodology approach based on one of the most widely accepted and used methodology approach of CRISP-DM.|https://doi.org/10.1016/j.bdr.2021.100274|https://www.sciencedirect.com/science/article/pii/S2214579621000915||||2022|Cross-Industry Process Standardization for Text Analytics|Christina G. Skarpathiotaki and Konstantinos E. Psannis|article|SKARPATHIOTAKI2022100274|||Big Data Research|22145796||27|||||21100356018|0,565|Q2|25|11|76|547|324|69|4,06|49,73|United States|Northern America|2014-2020|Computer Science Applications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2)|586|3.578|0.00126|28167997|1627174784
TEEM'18|Salamanca, Spain|citizen-driven archive, AI, computer vision, Digital Humanities, uncertainty|7|845–851|Proceedings of the Sixth International Conference on Technological Ecosystems for Enhancing Multiculturality|Uncertainties in data, e.g., incomplete data sets, data quality issues or inconsistencies in annotations, are a common phenomenon across disciplines. How to address these issues is context dependent. In this paper, we address uncertainties in the citizen-driven archive Topotheque as a concrete use-case in the Digital Humanities project exploreAT!, and demonstrate, how to deal with uncertainties by benchmarking a set of selected commercial computer vision (CV) tools. The approach aims to enrich Topotheque's data to enable better access, connectivity and analysis for both researchers and citizens. Results show that by applying CV, existing uncertainties are noticeably reduced, but new ones also introduced. Better grounds for semantic structuring are provided, enabling higher connectivity and linking within Topotheque, but also across other data sets. Ultimately, the enrichment of the archive is for the benefit of both researchers and citizens enabled by addressing and tackling apparent uncertainties.|10.1145/3284179.3284322|https://doi.org/10.1145/3284179.3284322|New York, NY, USA|Association for Computing Machinery|9781450365185|2018|Applying Commercial Computer Vision Tools to Cope with Uncertainties in a Citizen-Driven Archive: The Case Study Topothek@exploreAT!|Dorn, Amelie and Wandl-Vogt, Eveline and Palfinger, Thomas and D\'{\i}az, Jos\'{e} Luis Preza and Piringer, Barbara and Schatek, Alexander and Zoubek, Rainer|inproceedings|10.1145/3284179.3284322|||||||||||||||||||||||||||||28552632|42
||Artificial intelligence, Renewable energy, Energy demand, Decision making, Big data, Energy digitization||125834||The energy industry is at a crossroads. Digital technological developments have the potential to change our energy supply, trade, and consumption dramatically. The new digitalization model is powered by the artificial intelligence (AI) technology. The integration of energy supply, demand, and renewable sources into the power grid will be controlled autonomously by smart software that optimizes decision-making and operations. AI will play an integral role in achieving this goal. This study focuses on the use of AI techniques in the energy sector. This study aims to present a realistic baseline that allows researchers and readers to compare their AI efforts, ambitions, new state-of-the-art applications, challenges, and global roles in policymaking. We covered three major aspects, including: i) the use of AI in solar and hydrogen power generation; (ii) the use of AI in supply and demand management control; and (iii) recent advances in AI technology. This study explored how AI techniques outperform traditional models in controllability, big data handling, cyberattack prevention, smart grid, IoT, robotics, energy efficiency optimization, predictive maintenance control, and computational efficiency. Big data, the development of a machine learning model, and AI will play an important role in the future energy market. Our study’s findings show that AI is becoming a key enabler of a complex, new and data-related energy industry, providing a key magic tool to increase operational performance and efficiency in an increasingly cut-throat environment. As a result, the energy industry, utilities, power system operators, and independent power producers may need to focus more on AI technologies if they want meaningful results to remain competitive. New competitors, new business strategies, and a more active approach to customers would require informed and flexible regulatory engagement with the associated complexities of customer safety, privacy, and information security. Given the pace of development in information technology, AI and data analysis, regulatory approvals for new services and products in the new Era of digital energy markets can be enforced as quickly and efficiently as possible.|https://doi.org/10.1016/j.jclepro.2021.125834|https://www.sciencedirect.com/science/article/pii/S0959652621000548||||2021|Artificial intelligence in sustainable energy industry: Status Quo, challenges and opportunities|Tanveer Ahmad and Dongdong Zhang and Chao Huang and Hongcai Zhang and Ningyi Dai and Yonghua Song and Huanxin Chen|article|AHMAD2021125834|||Journal of Cleaner Production|09596526||289|||||19167|1,937|Q1|200|5126|10603|304498|103295|10577|9,56|59,40|United Kingdom|Western Europe|1993-2021|Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)|170,352|9.297|0.18299|28576760|1121054297
CAIN '22|Pittsburgh, Pennsylvania||12|205–216|Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI|The adoption of Artificial Intelligence (AI) in high-stakes domains such as healthcare, wildlife preservation, autonomous driving and criminal justice system calls for a data-centric approach to AI. Data scientists spend the majority of their time studying and wrangling the data, yet tools to aid them with data analysis are lacking. This study identifies the recurrent data quality issues in public datasets. Analogous to code smells, we introduce a novel catalogue of data smells that can be used to indicate early signs of problems or technical debt in machine learning systems. To understand the prevalence of data quality issues in datasets, we analyse 25 public datasets and identify 14 data smells.|10.1145/3522664.3528621|https://doi.org/10.1145/3522664.3528621|New York, NY, USA|Association for Computing Machinery|9781450392754|2022|Data Smells in Public Datasets|Shome, Arumoy and Cruz, Lu\'{\i}s and van Deursen, Arie|inproceedings|10.1145/3522664.3528621|||||||||||||||||||||||||||||29542736|42
||Big Data;Power grids;Indexes;Power measurement;Time measurement;Memory;power big data;multi-source heterogeneous data;spatio-temporal correlation;data storage;multi-dimensional index||2386-2390|2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)|The operation of complex AC/DC power grid changes rapidly and dynamically, which objectively puts forward higher requirements for on-line analysis, and it is urgent to improve the basic data quality of power grid. Because of low quality and poor synchronization of the basic data of power grid, it is impossible to accurately map the actual operation of the power grid. At the same time, the cross-system data matching degree is low and the data correlation is poor, so it can not support the multi-scale data analysis for all kinds of applications. In this paper, the associated method of multi-source heterogeneous data in the power grid is studied. Combined with big data's access characteristics, big data storage, big data retrieval and artificial intelligence technology, the high-speed data storage and index architecture of power big data are constructed, and a multi-dimensional index reflecting the associated relationship of operating data is established from the dimensions of time, space, application, device and so on. It is easier to analyze multi-source data, to improve the basic data quality of power grid, which provides effective support for accurate data analysis and evaluation of power grid.|10.1109/IAEAC47372.2019.8997699|||||2019|Multi-dimensional Index Construction of Electric Power Multi-source Measurement Data considering Spatio-temporal Correlation|Pan, Lingling and Liu, Jun and Li, Feng|inproceedings|8997699||Dec||23810947||1|||||||||||||||||||||||30061621|1121141125
||||1-5|CIBDA 2022; 3rd International Conference on Computer Information and Big Data Applications|"\"With the development of large data technology, the large variety and quantity of data put forward higher requirements on how to better use the data. The distribution of large data is characterized by \"\"data island\"\", \"\"wide area dispersion\"\", data dispersion, etc. Data types, data relationships and data quality are increasingly different, and contain a large number of unlabeled data, data sparse areas and domain knowledge. In order to solve the problem of multi-source heterogeneous data fusion, this paper innovatively introduces the Federal Learning algorithm, builds a Federal Learning Classifier, aggregates multiple fusion models of the same kind of data, and achieves the iterative optimization of data fusion without uploading data. The simulation results show that this algorithm model has certain advantages in data fusion stability and model iteration convergence speed.\""||||||2022|Research on data fusion method based on Federated learning|Yuan, Jianan and Huo, Chao and Zhang, Ganghong and Gao, Jian|inproceedings|9899089||March|||||||||||||||||||||||||||31275846|42
https://doi.org/10.1016/j.outlook.2016.11.021|https://www.sciencedirect.com/science/article/pii/S0029655416303967||||2017|Big data science: A literature review of nursing research exemplars|Bonnie L. Westra and Martha Sylvia and Elizabeth F. Weinfurter and Lisiane Pruinelli and Jung In Park and Dianna Dodd and Gail M. Keenan and Patricia Senk and Rachel L. Richesson and Vicki Baukner and Christopher Cruz and Grace Gao and Luann Whittenburg and Connie W. Delaney|article|WESTRA2017549|||Nursing Outlook|00296554|5|65||||||||||||||||||||||||||||||34947859|42
CIKM '19|Beijing, China|ontology, relation extraction, enterprise knowledge management, entity recognition, knowledge graph|2|2965–2966|Proceedings of the 28th ACM International Conference on Information and Knowledge Management|Data driven Knowledge Graph is rapidly adapted by different societies. Many open domain and specific domain knowledge graphs have been constructed, and many industries have benefited from knowledge graph. Currently, enterprise related knowledge graph is classified as specific domain, but the applications span from solving a narrow specific problem to Enterprise Knowledge Management system. With the digital transform of traditional industry, Enterprise knowledge becomes more and more complicated, it involves knowledge from common domain, multiple specific domains, and corporate-specific in general. This tutorial provides an overview of current Enterprise Knowledge Graph(EKG). It distinguishes the EKG from specific domain according to the knowledge it covers, and provides the examples to illustrate the difference between EKG and specific domain KG. The tutorial further summarizes EKG into three types: Specific Business Task Enterprise KG, Specific Business Unit Enterprise KG and Cross Business Unit Enterprise KG, and illustrates the characteristics, steps, challenges, and future research in constructing and consuming of each of these three types of EKG .|10.1145/3357384.3360314|https://doi.org/10.1145/3357384.3360314|New York, NY, USA|Association for Computing Machinery|9781450369763|2019|Enterprise Knowledge Graph From Specific Business Task to Enterprise Knowledge Management|Duan, Rong and Xiao, Yanghua|inproceedings|10.1145/3357384.3360314|||||||||||||||||||||||||||||39001193|42
||Data Visualization, Dimensionality Reduction, Parallel Processing, Hadoop, Machine Learning, Big Data||112-121||The amount of data created by people, machines and corporations around the world is growing every year. Thanks to innovations such as the Internet of Things, this trend will continue, giving rise to the creation of Big Data. Data visualization leverages principles of visual psychology to help stakeholders identify patterns, trends and correlations that might go undetected in text-based or spreadsheet data. The return on investment (ROI) of big data visualization is well-documented in numerous studies and use cases. However, to achieve ROI from analytics investments, key insights must be uncovered, understood and communicated. Synthesizing huge quantities of data into key insights grows more challenging as data volumes and varieties increase. To address visualization challenges posed by big and high-dimensional data, this paper explores algorithms and techniques that compress the amount of data and/or reduce the number of attributes to be analyzed and visualized. Specifically, this paper examines applying dimensionality reduction and data compression algorithms to reduce attributes, tuples and data points returned to the visualization. By reducing data returned to the visualization, trends, patterns and correlations are easier to view and visualization tool performance is optimized.|https://doi.org/10.1016/j.procs.2018.10.308|https://www.sciencedirect.com/science/article/pii/S1877050918319811||||2018|Visualizing High Dimensional and Big Data|Amy Genender-Feltheimer|article|GENENDERFELTHEIMER2018112|||Procedia Computer Science|18770509||140||Cyber Physical Systems and Deep Learning Chicago, Illinois November 5-7, 2018|||19700182801|0,334|-|76|1907|6483|38511|13722|6359|2,09|20,19|Netherlands|Western Europe|2010-2020|Computer Science (miscellaneous)||||39679325|2108686752
||Big data, Prediction, Case studies, Explanation, Elections, Weather||96-104||Has the rise of data-intensive science, or ‘big data’, revolutionized our ability to predict? Does it imply a new priority for prediction over causal understanding, and a diminished role for theory and human experts? I examine four important cases where prediction is desirable: political elections, the weather, GDP, and the results of interventions suggested by economic experiments. These cases suggest caution. Although big data methods are indeed very useful sometimes, in this paper's cases they improve predictions either limitedly or not at all, and their prospects of doing so in the future are limited too.|https://doi.org/10.1016/j.shpsa.2019.09.002|https://www.sciencedirect.com/science/article/pii/S0039368119300652||||2020|Big data and prediction: Four case studies|Robert Northcott|article|NORTHCOTT202096|||Studies in History and Philosophy of Science Part A|00393681||81|||||11600154632|0,615|Q1|37|95|150|5051|229|134|1,22|53,17|United Kingdom|Western Europe|1970-1971, 1974-1978, 1980-1981, 1983-1986, 1988, 1990-2020|History (Q1); History and Philosophy of Science (Q1)||||42338857|1900527991
https://doi.org/10.1016/j.cmpb.2021.106293|https://www.sciencedirect.com/science/article/pii/S0169260721003679||||2021|Management of medical and health big data based on integrated learning-based health care system: A review and comparative analysis|Yuguang Ye and Jianshe Shi and Daxin Zhu and Lianta Su and Jianlong Huang and Yifeng Huang|article|YE2021106293|||Computer Methods and Programs in Biomedicine|01692607||209||||||||||||||||||||||||||||||47459595|42
